66	237	1	40	138	5066	0.9	80	0.1	0.55	0.85	0.47	2013.1	277808.04	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	9	2014-08-31	9	2014-08-31
73	239	1	40	123.77	5960	0.9	80	0.1	0.55	0.9	0.5	2655.18	328631.63	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	9	2014-09-04	9	2014-09-04
92	240	2	29	76	1500	0.9	80	0.1	0.6738	0.65	0.44	426.99	32451.17	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	9	2014-09-25	0	1970-01-01
72	241	1	40	52.88	5960	0.9	80	0.1	0.55	0.95	0.52	2958.4	156439.93	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	9	2014-09-04	9	2014-09-04
77	243	1	0	0	350	0.9	80	0.1	0	0.85	0	0	0	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	9	2014-09-09	9	2014-09-09
70	252	2	5	165	4200	0.9	80	0.1	0.9438	1	0.94	3963.75	654018.75	1	187.175.67.147	dsl-187-175-67-147-dyn.prod-infinitum.com.mx	46	2014-09-03	46	2014-09-03
76	271	4	32	59.7	6000	0.9	80	0.1	0.64	0.8	0.51	2457.6	146718.72	1	189.236.196.242	dsl-189-236-196-242-dyn.prod-infinitum.com.mx	41	2014-09-09	41	2014-09-11
71	273	2	0	46.07	550	0.9	80	0.1	1	1	1	550	25338.5	1	189.236.225.44	dsl-189-236-225-44-dyn.prod-infinitum.com.mx	46	2014-09-04	46	2014-09-04
88	276	1	50	190.35	2500	0.9	80	0.1	0.4375	0.65	0.28	462.11	87962.52	1	177.233.66.134	host-177-233-66-134.static.metrored.net.mx	9	2014-09-21	9	2014-09-21
74	278	2	13	84.32	2400	0.9	80	0.1	0.8538	0.85	0.73	1480.4	124827.54	1	189.243.90.215	dsl-189-243-90-215-dyn.prod-infinitum.com.mx	46	2014-09-07	46	2014-09-07
78	282	2	30	227.33	2900	0.9	80	0.1	0.6625	0.85	0.56	1388.1	315557.48	1	103.25.58.14	103.25.58.14	46	2014-09-09	46	2014-09-09
79	285	2	12	84.64	4200	0.9	80	0.1	0.865	0.9	0.78	2942.73	249072.67	1	103.25.58.14	103.25.58.14	46	2014-09-10	46	2014-09-10
80	287	2	1	65.72	500	0.9	80	0.1	0.9888	1	0.99	494.38	32490.33	1	189.243.90.252	dsl-189-243-90-252-dyn.prod-infinitum.com.mx	46	2014-09-11	46	2014-09-11
83	288	1	40	76.56	2400	0.9	80	0.1	0.55	0.65	0.36	557.7	42697.51	1	189.133.126.228	dsl-189-133-126-228-dyn.prod-infinitum.com.mx	41	2014-09-17	41	2014-09-17
81	291	5	20	106.3	4000	0.9	80	0.1	0.775	0.75	0.58	1743.75	185360.63	1	187.175.56.100	dsl-187-175-56-100-dyn.prod-infinitum.com.mx	46	2014-09-14	46	2014-09-14
89	293	1	33	42	4000	0.9	80	0.1	0.6288	0.8	0.5	1609.6	67603.2	1	189.133.102.205	dsl-189-133-102-205-dyn.prod-infinitum.com.mx	41	2014-09-21	41	2014-09-21
85	295	2	10	55	1100	0.9	80	0.1	0.8875	0.85	0.75	705.34	38793.73	1	187.175.59.32	dsl-187-175-59-32-dyn.prod-infinitum.com.mx	46	2014-09-19	46	2014-09-19
86	296	5	32	29.35	4000	0.9	80	0.1	0.64	0.9	0.58	2073.6	60860.16	1	187.175.59.32	dsl-187-175-59-32-dyn.prod-infinitum.com.mx	46	2014-09-19	0	1970-01-01
87	297	2	3	98.88	1150	0.9	80	0.1	0.9663	0.95	0.92	1002.85	99161.48	1	187.175.59.32	dsl-187-175-59-32-dyn.prod-infinitum.com.mx	46	2014-09-19	46	2014-09-19
90	298	2	0	49	1800	0.9	80	0.1	1	0.9	0.9	1458	71442	1	189.133.102.205	dsl-189-133-102-205-dyn.prod-infinitum.com.mx	41	2014-09-22	41	2014-09-22
91	301	2	25	93.92	1500	0.9	80	0.1	0.7188	0.95	0.68	973.01	91384.89	1	187.175.38.210	dsl-187-175-38-210-dyn.prod-infinitum.com.mx	46	2014-09-24	46	2014-09-24
93	307	2	13	121	1060	0.9	80	0.1	0.8538	0.9	0.77	733.03	88696.6	1	187.175.36.93	dsl-187-175-36-93-dyn.prod-infinitum.com.mx	46	2014-09-26	46	2014-09-26
94	310	2	12	87.98	810	0.9	80	0.1	0.865	1	0.87	700.65	61643.19	1	187.175.36.93	dsl-187-175-36-93-dyn.prod-infinitum.com.mx	46	2014-09-26	46	2014-09-26
95	313	1	20	33.79	4500	0.9	80	0.1	0.775	0.85	0.66	2519.72	85141.3	1	189.133.130.242	dsl-189-133-130-242-dyn.prod-infinitum.com.mx	41	2014-09-27	41	2014-09-27
96	327	2	3	181.52	1300	0.9	80	0.1	0.9663	0.95	0.92	1133.65	205780.66	1	189.236.201.23	dsl-189-236-201-23-dyn.prod-infinitum.com.mx	46	2014-09-28	0	1970-01-01
97	331	5	25	300	800	0.9	80	0.1	0.7188	0.85	0.61	415.44	124631.25	1	189.236.201.23	dsl-189-236-201-23-dyn.prod-infinitum.com.mx	46	2014-09-28	46	2014-09-28
98	336	2	11	122.83	1360	0.9	80	0.1	0.8763	0.9	0.79	965.28	118564.97	1	187.175.2.17	dsl-187-175-2-17-dyn.prod-infinitum.com.mx	46	2014-09-29	46	2014-09-29
99	337	5	34	429.31	1050	0.9	80	0.1	0.6175	0.9	0.56	525.18	225466.64	1	187.175.2.17	dsl-187-175-2-17-dyn.prod-infinitum.com.mx	46	2014-09-29	46	2014-09-29
108	338	1	0	256.62	4000	0.9	80	0.1	1	0.8	0.8	2560	656947.2	1	189.133.93.222	dsl-189-133-93-222-dyn.prod-infinitum.com.mx	41	2014-10-02	41	2014-10-02
