2,"MA","MALO",0.75,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",0,now(),40,"2014-07-18 17:19:28"
3,"DEF","DEFICIENTE",0.80,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",0,now(),40,"2014-07-18 17:19:06"
4,"RE","REGULAR",0.85,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",0,now(),40,"2014-07-18 17:17:38"
5,"BU","BUENO",0.90,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",0,now(),40,"2014-07-18 17:17:01"
6,"MB","MUY BUENO",0.95,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",0,now(),40,"2014-07-18 17:16:40"
7,"NVO","NUEVO",1.00,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",0,now(),40,"2014-07-18 17:16:15"
8,"MM","MUY MALO",0.70,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",40,"2014-07-18 17:20:14",0,now()
9,"RU","RUINOSO",0.65,1,1,"189.133.243.223","dsl-189-133-243-223-dyn.prod-infinitum.com.mx",40,"2014-07-18 17:21:15",0,now()
