1,0.00,2.00,1.00,1,1,"","",0,now(),0,now()
2,2.10,3.00,0.98,1,1,"","",0,now(),0,now()
3,3.10,4.00,0.96,1,1,"","",0,now(),0,now()
4,4.10,5.00,0.94,1,1,"","",0,now(),0,now()
5,5.10,6.00,0.92,1,1,"","",0,now(),0,now()
6,6.10,7.00,0.90,1,1,"","",0,now(),0,now()
7,7.10,8.00,0.88,1,1,"","",0,now(),0,now()
8,8.10,9.00,0.86,1,1,"","",0,now(),0,now()
9,9.10,10.00,0.84,1,1,"","",0,now(),0,now()
10,10.10,11.00,0.83,1,1,"189.133.158.112","dsl-189-133-158-112-dyn.prod-infinitum.com.mx",0,now(),1,"2014-07-18 17:50:22"
11,11.10,12.00,0.80,1,1,"","",0,now(),0,now()
12,12.10,13.00,0.78,1,1,"","",0,now(),0,now()
13,13.10,14.00,0.76,1,1,"","",0,now(),0,now()
14,14.10,15.00,0.74,1,1,"","",0,now(),0,now()
15,15.10,16.00,0.72,1,1,"","",0,now(),0,now()
16,16.10,17.00,0.70,1,1,"","",0,now(),0,now()
17,17.10,18.00,0.68,1,1,"","",0,now(),0,now()
18,18.10,19.00,0.66,1,1,"","",0,now(),0,now()
19,19.10,20.00,0.64,1,1,"","",0,now(),0,now()
20,20.10,1000.00,0.62,1,1,"","",0,now(),0,now()
