1,"Terreno",1,1,"","",0,now(),0,now()
2,"Casa habitacion",1,1,"","",0,now(),0,now()
3,"Casa en condominio",1,1,"","",0,now(),0,now()
4,"Departamento en condominio",1,1,"","",0,now(),0,now()
5,"Vienda multiple",1,1,"","",0,now(),0,now()
6,"CASA DE INTERES SOCIAL",1,1,"189.133.158.112","dsl-189-133-158-112-dyn.prod-infinitum.com.mx",0,now(),1,"2014-07-18 18:58:12"
