65	164	total	820.48	0.7	0.85	1	1	0.85	0.51	101.15	100	82991.55	1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	46	2014-08-06	0	1970-01-01
66	165	total	777.96	0.7	0.85	1	1	0.85	0.51	101.15	100	78690.65	1	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	46	2014-08-06	46	2014-08-06
67	166	total	2541.54	0.78	0.8	1	1	0.8	0.5	49.92	100	126873.68	1	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	46	2014-08-06	46	2014-08-06
68	168	TOTAL	759.77	0.78	0.8	1	1	0.8	0.5	99.84	100	75855.44	1	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	46	2014-08-06	46	2014-08-06
69	169	total	777.6	0.78	0.8	1	1	0.8	0.5	99.84	100	77635.58	1	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	46	2014-08-06	46	2014-08-06
70	170	total	938.03	0.9	0.9	1	1	1	0.81	243	100	227941.29	1	1	187.187.44.202	customer-mred-202.static.metrored.net.mx	9	2014-08-06	0	1970-01-01
72	172	TOTAL	172.89	2	1	0.8	1	1	1.6	158.4	100	27385.78	1	1	187.175.37.178	dsl-187-175-37-178-dyn.prod-infinitum.com.mx	46	2014-08-07	46	2014-08-07
73	173	total	106.34	2	1	0.8	1	1	1.6	160	100	17014.4	1	1	187.175.37.178	dsl-187-175-37-178-dyn.prod-infinitum.com.mx	46	2014-08-07	46	2014-08-07
74	174	total	73.08	2.5	1	0.6	1	1	1.5	150	100	10962	1	1	187.175.37.178	dsl-187-175-37-178-dyn.prod-infinitum.com.mx	46	2014-08-07	46	2014-08-07
75	175	total	1045.92	1	1	1	1	1	1	100	100	104592	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-07	0	1970-01-01
76	176	total	800	0.9	1	1	1	1	0.9	180	100	144000	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-07	0	1970-01-01
77	177	total	400	0.9	1	1	1	1	0.9	180	100	72000	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-07	0	1970-01-01
78	178	total	498.2	0.9	1	1	1	1	0.9	180	100	89676	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-07	0	1970-01-01
79	179	total	200	0.84	0.9	1	1	1	0.76	302.4	100	60480	1	1	187.175.66.193	dsl-187-175-66-193-dyn.prod-infinitum.com.mx	46	2014-08-07	46	2014-08-18
80	180	total	956.35	1.2	1	1	1	1	1.2	120	100	114762	1	1	187.175.60.139	dsl-187-175-60-139-dyn.prod-infinitum.com.mx	46	2014-08-07	46	2014-08-12
81	181	total	300	0.78	0.8	1	1	0.8	0.5	99.84	100	29952	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-08	46	2014-08-08
83	182	total	107.9	0.78	0.85	0.6	1	0.85	0.34	101.44	100	10945.38	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-08	46	2014-08-08
84	184	total	222	1	1	1	1	1	1	500	100	111000	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-09	0	1970-01-01
85	183	total	98	1	0.95	1	1	1	0.95	1768.9	100	173352.2	1	1	189.133.84.192	dsl-189-133-84-192-dyn.prod-infinitum.com.mx	52	2014-08-09	52	2014-08-09
89	187	total	1128.01	1.47	1	1	1	1	1.47	132.3	100	149235.72	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-10	46	2014-08-10
90	188	total	1128.01	1.47	1	1	1	1	1.47	132.3	100	149235.72	1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	46	2014-08-10	46	2014-08-10
91	191	TOTAL	8724.05	0.9	0.95	1	1	1	0.86	256.5	100	2237718.83	1	1	187.175.60.139	dsl-187-175-60-139-dyn.prod-infinitum.com.mx	46	2014-08-12	46	2014-08-12
92	190	UNICA	105	1	1	1	1	1	1	800	100	84000	1	1	189.133.132.209	dsl-189-133-132-209-dyn.prod-infinitum.com.mx	41	2014-08-12	0	1970-01-01
93	193	total	0	0.8	1	1	1	1	0	0	100	0	1	1	187.175.60.139	dsl-187-175-60-139-dyn.prod-infinitum.com.mx	46	2014-08-12	0	1970-01-01
94	198	UNICA	80.3	1	1	1	1	1	1	800	100	64240	1	1	189.236.68.82	dsl-189-236-68-82-dyn.prod-infinitum.com.mx	41	2014-08-15	41	2014-08-15
95	203	TOTAL	787.15	1	1	1	1	1	1	1000	100	787150	1	1	187.175.37.226	dsl-187-175-37-226-dyn.prod-infinitum.com.mx	46	2014-08-20	46	2014-08-20
96	202	100	115	1	0.9	1	1	1	0.9	7095.6	100	815994	1	1	189.133.136.0	189.133.136.0	52	2014-08-20	52	2014-08-20
97	206	TOTAL	133	0.95	1	1	1	1	0.95	1083	100	144039	1	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	46	2014-08-21	46	2014-08-28
100	205	total	400	0.95	0.8	1	1	0.8	0.61	121.6	100	48640	1	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	46	2014-08-21	46	2014-08-28
101	210	Total	68.3	1	0.8	1	1	0.95	0.76	4114.64	100	281009.34	1	1	189.236.254.45	dsl-189-236-254-45-dyn.prod-infinitum.com.mx	52	2014-08-25	52	2014-09-02
102	197	UNICA	299.1	1	1	1	1	1	1	700	100	209370	1	1	189.133.88.15	dsl-189-133-88-15-dyn.prod-infinitum.com.mx	41	2014-08-25	41	2014-08-27
103	211	TOTAL	8900	1	1	1	1	1	1	70	100	623000	1	1	187.175.1.141	dsl-187-175-1-141-dyn.prod-infinitum.com.mx	46	2014-08-25	46	2014-08-25
104	212	TOTAL	57.09	1	0.85	0.8	1	0.9	0.61	306	100	17469.54	1	1	187.175.1.141	dsl-187-175-1-141-dyn.prod-infinitum.com.mx	46	2014-08-25	46	2014-08-25
105	214	TOTAL	3150.31	0.8	0.85	1	1	0.85	0.58	46.24	100	145670.33	1	1	189.243.89.154	dsl-189-243-89-154-dyn.prod-infinitum.com.mx	46	2014-08-26	46	2014-08-26
106	215	TOTAL	1091.7	1.3	1	1	1	1	1.3	130	100	141921	1	1	187.175.3.127	dsl-187-175-3-127-dyn.prod-infinitum.com.mx	46	2014-08-26	46	2014-08-26
107	216	TOTAL	846.5	0.98	0.95	1	1	0.95	0.88	176.89	100	149737.39	1	1	187.175.3.127	dsl-187-175-3-127-dyn.prod-infinitum.com.mx	46	2014-08-26	46	2014-08-26
108	217	TOTAL	392	0.93	0.85	1	1	0.85	0.67	201.58	100	79019.36	1	1	187.175.3.127	dsl-187-175-3-127-dyn.prod-infinitum.com.mx	46	2014-08-26	46	2014-08-26
109	218	TOTAL	179.58	1.5	1	1	1	1	1.5	150	100	26937	1	1	187.175.3.127	dsl-187-175-3-127-dyn.prod-infinitum.com.mx	46	2014-08-26	46	2014-08-26
110	219	TOTAL	52.19	0.9	0.85	1	1	1	0.77	306	100	15970.14	1	1	187.175.68.161	dsl-187-175-68-161-dyn.prod-infinitum.com.mx	46	2014-08-26	46	2014-09-03
112	213	Total	93.5	1	0.9	1	1	1	0.9	5391	24	120974.04	1	1	189.236.71.216	dsl-189-236-71-216-dyn.prod-infinitum.com.mx	52	2014-08-27	0	1970-01-01
113	221	TOTAL	139.88	0.91	0.9	1	1	0.85	0.7	208.85	100	29213.94	1	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	46	2014-08-27	46	2014-08-27
114	207	TOTAL	800	1	1	1	1	1	1	400	100	320000	1	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	46	2014-08-28	0	1970-01-01
115	222	TOTAL	250	0.98	0.95	1	1	0.95	0.88	1017.12	100	254280	1	1	187.175.69.51	dsl-187-175-69-51-dyn.prod-infinitum.com.mx	46	2014-08-28	46	2014-08-28
116	223	TOTAL	5000	0.9	0.9	1	1	0.9	0.73	29.16	100	145800	1	1	187.175.33.35	dsl-187-175-33-35-dyn.prod-infinitum.com.mx	46	2014-08-29	0	1970-01-01
117	224	UNICA	270	1	1	1	1	1	1	600	100	162000	1	1	189.133.88.15	dsl-189-133-88-15-dyn.prod-infinitum.com.mx	41	2014-08-29	0	1970-01-01
118	226	TOTAL	100.38	0.8	0.8	0.8	1	0.8	0.41	1984.51	100	199205.11	1	1	187.175.33.35	dsl-187-175-33-35-dyn.prod-infinitum.com.mx	46	2014-08-29	46	2014-08-29
119	227	TOTAL	131.02	1	1	1	1	1	1	800	100	104816	1	1	187.175.33.35	dsl-187-175-33-35-dyn.prod-infinitum.com.mx	46	2014-08-29	0	1970-01-01
120	228	TOTAL	129.78	0.8	0.9	1	1	0.85	0.61	183.6	100	23827.61	1	1	187.175.33.35	dsl-187-175-33-35-dyn.prod-infinitum.com.mx	46	2014-08-29	0	1970-01-01
