134	138	foto0-138.jpg	foto1-138.jpg	foto2-138.jpg	foto3-138.jpg	foto4-138.jpg	foto5-138.jpg					plano0-138.jpg					VIA DE ACCESO  AL CONJUNTO	VISTA FRONTAL  DEL EDIFICIO	SALA-COMEDOR	COCINA	BAÑO.	RECAMARA					PLANO ARQUITECTONICO					1	1	189.133.85.195	dsl-189-133-85-195-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	41	2014-08-02 13:54:23
135	139																															1	1			0	1970-01-01 00:00:00	0	1970-01-01 00:00:00
136	140																															1	1			0	1970-01-01 00:00:00	0	1970-01-01 00:00:00
139	143											plano0-143.jpg															Copia del plano.					1	1	187.175.57.92	dsl-187-175-57-92-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 14:06:28
140	144											plano0-144.jpg															Copia del plano.					1	1	187.175.57.92	dsl-187-175-57-92-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 14:08:13
137	141	foto0-141.jpg	foto1-141.jpg	foto2-141.jpg	foto3-141.jpg	foto4-141.jpg	foto5-141.jpg					plano0-141.jpg					VISTA PANORAMICA DE CALLE DE ACCESO	VISTA FRONTAL  DEL  EDIFICIO	SALA-COMEDOR	COCINA	ESCALERAS DE SERVICIO PLANTA ALTA	RECAMARA					PLANO ARQUITECTONICO					1	1	189.236.68.82	dsl-189-236-68-82-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	41	2014-08-15 07:11:29
141	145											plano0-145.jpg															Copia del plano.					1	1	187.175.57.92	dsl-187-175-57-92-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 15:09:57
142	146											plano0-146.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 18:17:53
143	147											plano0-147.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 18:20:06
144	148											plano0-148.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 18:22:39
145	149											plano0-149.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 19:36:31
146	150											plano0-150.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-04 20:04:24
149	153											plano0-153.jpg															Copia del plano.					1	1	187.175.68.161	dsl-187-175-68-161-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-09-02 23:46:36
150	154											plano0-154.jpg																				1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-05 16:25:19
148	152	foto0-152.jpg	foto1-152.jpg	foto2-152.jpg	foto3-152.jpg							plano0-152.jpg					Vista principal	Vista lateral	Vista general	Carretera Estatal El Bellote-Aquiles Serdan.							Copia del plano.					1	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-08 17:18:58
151	155											plano0-155.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-05 16:26:45
152	156											plano0-156.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-05 16:27:44
153	157											plano0-157.jpg																				1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-05 22:38:17
154	158											plano0-158.jpg																				1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-05 22:39:22
155	159	foto0-159.jpg	foto1-159.jpg	foto2-159.jpg								plano0-159.jpg					Fachada.	Vista general.	Carretera vecinal.								Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-06 14:45:31
156	160											plano0-160.jpg															Copia del plano.					1	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01 00:00:00	46	2014-08-06 13:39:42
