161	162	0	0	0		109287.27	2	1	1	1	0	0	1	0			0	0	0	0	109287.27	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-06
162	163	0	0	0		119732.25	2	1	1	1	0	0	1	0			0	0	0	0	119732.25	1	187.175.6.74	dsl-187-175-6-74-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-06
163	164	0	248.87	200		9866080	2	1	1	1	0	0	1	0			0	0	0	0	9866080	1	187.175.37.178	dsl-187-175-37-178-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
164	165	0	172.09	200		82991.55	2	2	5	1	46	20	2	0			153.92	361937.3	0	0	444928.85	1	187.175.64.113	dsl-187-175-64-113-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-08
165	166	0	173.62	200		78690.65	2	2	6	1	16	44	1	0			311.21	368752.73	0	0	447443.38	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-06
166	167	0	0	0		126873.68	2	1	1	1	0	0	1	0			0	0	0	0	126873.68	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-06
168	169	0	0	0		75855.44	2	1	1	1	0	0	1	0			0	0	0	0	75855.44	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-06
169	170	0	0	0		77635.58	2	1	1	1	0	0	1	0			0	0	0	0	77635.58	1	187.175.70.19	dsl-187-175-70-19-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-06
170	171	0	326.95	300		227941.29	2	2	3	3	10	40	1	0			92.57	199307.84	0	0	427249.13	1	187.187.44.202	customer-mred-202.static.metrored.net.mx	0	1970-01-01	9	2014-08-06
171	172	0	1490.58	1491		0	1	1	1	1	0	0	0	0			0	0	0	0	0	1			0	1970-01-01	0	1970-01-01
172	173	0	0	0		27385.78	2	1	1	1	0	0	1	0			0	0	0	0	27385.78	1	187.175.37.178	dsl-187-175-37-178-dyn.prod-infinitum.com.mx	0	1970-01-01	46	2014-08-07
