1,"Privada individual",1,1,"","",0,now(),0,now()
2,"Coopropiedad",1,1,"","",0,now(),0,now()
3,"Privada en Condominio",1,1,"","",0,now(),0,now()
4,"Ejidal",1,1,"","",0,now(),0,now()
5,"PúBLICO FEDERAL",1,1,"187.214.78.121","dsl-187-214-78-121-dyn.prod-infinitum.com.mx",0,now(),64,"2014-08-12 12:48:07"
6,"PúBLICO ESTATAL",1,1,"189.133.158.112","dsl-189-133-158-112-dyn.prod-infinitum.com.mx",0,now(),1,"2014-07-18 18:29:08"
7,"Público Municipal",1,1,"","",0,now(),0,now()
